n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,mean_train_score,mean_test_score,std_test_score,rank_test_score
100,30,2,2,sqrt,True,absolute_error,0.9814925612078932,0.3891963885865305,0.2796779738752081,1
100,10,8,3,sqrt,True,squared_error,0.974753381344976,0.3694554116136947,0.30350940203464666,2
300,15,4,2,log2,True,poisson,0.9854278369718562,0.36277991943998283,0.31050514003045143,3
100,30,6,2,sqrt,False,absolute_error,0.9920189096273543,0.3573515721804922,0.2863524192692679,4
100,None,8,4,0.7,True,poisson,0.9800989521650042,0.3454827008236977,0.29949746031100016,5
200,25,6,3,log2,False,absolute_error,0.9886772958767175,0.3440759035616311,0.29675630176910384,6
200,20,8,1,0.5,False,poisson,0.9968708239997051,0.34102089418153564,0.29674191250190607,7
200,10,2,4,0.7,True,poisson,0.9801617734132482,0.33968161607851155,0.2985652618887583,8
50,20,8,3,0.5,True,poisson,0.9797074951005232,0.33162194008564044,0.27480889891024063,9
300,10,8,3,0.7,True,squared_error,0.9821850771534111,0.3207284251284226,0.3397697465623821,10
300,25,4,4,sqrt,False,absolute_error,0.9805211372331959,0.31935719899706055,0.3308790157777108,11
200,15,4,4,log2,False,absolute_error,0.9806266297468407,0.31391432001956815,0.3459388646966364,12
50,10,8,4,log2,True,poisson,0.9707860621886027,0.3126770026686243,0.3393829495156888,13
50,25,6,4,sqrt,True,squared_error,0.9708814136241163,0.3070972747452817,0.35751809087728587,14
150,15,10,1,0.7,False,squared_error,0.9946373900147665,0.30262143399502583,0.3754860717515775,15
300,30,6,3,0.7,False,absolute_error,0.9913264828630629,0.2994542160300173,0.3437717649180972,16
100,20,2,2,0.7,False,poisson,0.9985017481647829,0.2764499973433887,0.3573214659946347,17
100,20,6,1,0.7,False,absolute_error,0.9976285885030161,0.2689433337909296,0.3390205910987895,18
50,None,10,3,sqrt,False,squared_error,0.9878834480020169,0.25633002925242293,0.36753906264584896,19
50,15,6,3,sqrt,True,squared_error,0.9762756938999975,0.2309127860406369,0.3775969806257797,20
